ano;mes;data;semana_ano;semana_mes;canal;commodity;categoria;segmento;holding;banner;uf;cidade;regional;faturamento;qtd_toneladas;qtd_unidades;# Records
2020;1;06/01/2020;2;1;VAREJO DIRETO;FR;BISCOITOS;VAREJO BASE;NOVA ESTRELA COM DE ALIM S A;NOVA ESTRELA COM DE ALIM S A;MS;TRES LAGOAS;CN;140,33;0,002795416;59;1
2020;1;06/01/2020;2;1;VAREJO DIRETO;FR;BISCOITOS;VAREJO BASE;A C D A IMP E EXP LTDA;A C D A IMP E EXP LTDA;RO;PORTO VELHO;CN;167,23;0,002908575;39;1
2020;1;06/01/2020;2;1;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;GO;TRINDADE;CN;2,58;5,02633E-05;2;1
2020;1;06/01/2020;2;1;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;MT;SORRISO;CN;8,78;0,000259446;2;1
2020;1;06/01/2020;2;1;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;MT;SAO JOSE DOS QUATRO MARCOS;CN;5,49;0,000129859;1;1
2020;1;06/01/2020;2;1;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;MT;VARZEA GRANDE;CN;11,78;0,000240184;2;1
2020;1;06/01/2020;2;1;VAREJO DIRETO;FR;BISCOITOS;VAREJO BASE;JCHAGAS ALIM LTDA;JCHAGAS ALIM LTDA;MS;NAVIRAI;CN;167,22;0,00383538;78;1
2020;1;06/01/2020;2;1;LOJA VI;FR;BISCOITOS;LOJA VI;LOJA VI;LOJA VI;MT;PORTO ESPERIDIAO;CN;25,83;0,000650546;7;1
2020;1;06/01/2020;2;1;VAREJO INDIRETO;FR;BISCOITOS;ATACADO;M A SILVA E SILVA LTDA;M A SILVA E SILVA LTDA;AP;SANTANA;CN;23,01;0,000516435;9;1
2020;1;06/01/2020;2;1;VAREJO DIRETO;FR;BISCOITOS;VAREJO BASE;MERCANTIL NOVA ERA LTDA;MERCANTIL NOVA ERA LTDA;RO;PORTO VELHO;CN;144,48;0,003101285;100;1
2020;1;06/01/2020;2;1;LOJA VI;FR;BISCOITOS;LOJA VI;REDE SMART (MARTINS);LOJA VI;RO;ESPIGAO DOESTE;CN;8,5;0,000259662;2;1
